time,vin,clk,v_code,code
0.000000000000000000e+00,4.887585532746823065e-04,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
1.000000000000000062e-09,7.327200875587971994e-04,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
2.000000000000000125e-09,9.766816218429120924e-04,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
3.000000000000000394e-09,1.220643156127027094e-03,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
4.000000000000000249e-09,1.464604690411141878e-03,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
5.000000000000000105e-09,1.708566224695256880e-03,0.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
6.000000000000000787e-09,1.952527758979371881e-03,1.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
7.000000000000000643e-09,2.196489293263486665e-03,1.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
8.000000000000000498e-09,2.440450827547601884e-03,1.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
9.000000000000001181e-09,2.684412361831716668e-03,1.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
1.000000000000000021e-08,2.928373896115831453e-03,0.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
1.100000000000000089e-08,3.172335430399946237e-03,1.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
1.200000000000000157e-08,3.416296964684061455e-03,1.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
1.300000000000000060e-08,3.660258498968176240e-03,0.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.400000000000000129e-08,3.904220033252291024e-03,1.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.500000000000000197e-08,4.148181567536405809e-03,1.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.600000000000000100e-08,4.392143101820521027e-03,1.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.700000000000000002e-08,4.636104636104636245e-03,0.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.800000000000000236e-08,4.880066170388750596e-03,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.900000000000000139e-08,5.124027704672864947e-03,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
2.000000000000000042e-08,5.367989238956981032e-03,0.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
2.100000000000000276e-08,5.611950773241095383e-03,1.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.200000000000000178e-08,5.855912307525209734e-03,1.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.300000000000000081e-08,6.099873841809325820e-03,0.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.400000000000000315e-08,6.343835376093440170e-03,1.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.500000000000000218e-08,6.587796910377554521e-03,1.000000000000000000e+00,6.842619745845552291e-03,7.000000000000000000e+00
2.600000000000000121e-08,6.831758444661670607e-03,0.000000000000000000e+00,6.842619745845552291e-03,7.000000000000000000e+00
2.700000000000000023e-08,7.075719978945784958e-03,0.000000000000000000e+00,6.842619745845552291e-03,7.000000000000000000e+00
2.800000000000000257e-08,7.319681513229899308e-03,1.000000000000000000e+00,6.842619745845552291e-03,7.000000000000000000e+00
2.900000000000000160e-08,7.563643047514015394e-03,0.000000000000000000e+00,7.820136852394916904e-03,8.000000000000000000e+00
3.000000000000000394e-08,7.807604581798129745e-03,1.000000000000000000e+00,7.820136852394916904e-03,8.000000000000000000e+00
3.099999999999999966e-08,8.051566116082244096e-03,0.000000000000000000e+00,7.820136852394916904e-03,8.000000000000000000e+00
3.200000000000000199e-08,8.295527650366360181e-03,1.000000000000000000e+00,7.820136852394916904e-03,8.000000000000000000e+00
3.300000000000000433e-08,8.539489184650474532e-03,1.000000000000000000e+00,8.797653958944280650e-03,9.000000000000000000e+00
3.400000000000000005e-08,8.783450718934588883e-03,0.000000000000000000e+00,8.797653958944280650e-03,9.000000000000000000e+00
3.500000000000000239e-08,9.027412253218703234e-03,1.000000000000000000e+00,8.797653958944280650e-03,9.000000000000000000e+00
3.600000000000000472e-08,9.271373787502819319e-03,1.000000000000000000e+00,8.797653958944280650e-03,9.000000000000000000e+00
3.700000000000000044e-08,9.515335321786933670e-03,0.000000000000000000e+00,9.775171065493646130e-03,1.000000000000000000e+01
3.800000000000000278e-08,9.759296856071048021e-03,1.000000000000000000e+00,9.775171065493646130e-03,1.000000000000000000e+01
3.900000000000000512e-08,1.000325839035516411e-02,1.000000000000000000e+00,9.775171065493646130e-03,1.000000000000000000e+01
4.000000000000000084e-08,1.024721992463927846e-02,0.000000000000000000e+00,9.775171065493646130e-03,1.000000000000000000e+01
4.100000000000000317e-08,1.049118145892339281e-02,1.000000000000000000e+00,1.075268817204301161e-02,1.100000000000000000e+01
4.200000000000000551e-08,1.073514299320750889e-02,1.000000000000000000e+00,1.075268817204301161e-02,1.100000000000000000e+01
4.300000000000000123e-08,1.097910452749162324e-02,0.000000000000000000e+00,1.075268817204301161e-02,1.100000000000000000e+01
4.400000000000000357e-08,1.122306606177573760e-02,1.000000000000000000e+00,1.075268817204301161e-02,1.100000000000000000e+01
4.500000000000000590e-08,1.146702759605985368e-02,1.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
4.600000000000000162e-08,1.171098913034396803e-02,0.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
4.700000000000000396e-08,1.195495066462808238e-02,1.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
4.800000000000000630e-08,1.219891219891219847e-02,1.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
4.900000000000000202e-08,1.244287373319631282e-02,0.000000000000000000e+00,1.270772238514173910e-02,1.300000000000000000e+01
5.000000000000000435e-08,1.268683526748042717e-02,1.000000000000000000e+00,1.270772238514173910e-02,1.300000000000000000e+01
5.100000000000000007e-08,1.293079680176454326e-02,0.000000000000000000e+00,1.270772238514173910e-02,1.300000000000000000e+01
5.200000000000000241e-08,1.317475833604865761e-02,0.000000000000000000e+00,1.270772238514173910e-02,1.300000000000000000e+01
5.300000000000000475e-08,1.341871987033277196e-02,1.000000000000000000e+00,1.368523949169110458e-02,1.400000000000000000e+01
5.400000000000000047e-08,1.366268140461688804e-02,0.000000000000000000e+00,1.368523949169110458e-02,1.400000000000000000e+01
5.500000000000000281e-08,1.390664293890100239e-02,0.000000000000000000e+00,1.368523949169110458e-02,1.400000000000000000e+01
5.600000000000000514e-08,1.415060447318511674e-02,1.000000000000000000e+00,1.368523949169110458e-02,1.400000000000000000e+01
5.700000000000000086e-08,1.439456600746923283e-02,0.000000000000000000e+00,1.466275659824047006e-02,1.500000000000000000e+01
5.800000000000000320e-08,1.463852754175334718e-02,0.000000000000000000e+00,1.466275659824047006e-02,1.500000000000000000e+01
5.900000000000000554e-08,1.488248907603746153e-02,1.000000000000000000e+00,1.466275659824047006e-02,1.500000000000000000e+01
6.000000000000000787e-08,1.512645061032157762e-02,1.000000000000000000e+00,1.466275659824047006e-02,1.500000000000000000e+01
6.100000000000000359e-08,1.537041214460569197e-02,0.000000000000000000e+00,1.564027370478983381e-02,1.600000000000000000e+01
6.199999999999999931e-08,1.561437367888980632e-02,0.000000000000000000e+00,1.564027370478983381e-02,1.600000000000000000e+01
6.300000000000000827e-08,1.585833521317392414e-02,1.000000000000000000e+00,1.564027370478983381e-02,1.600000000000000000e+01
6.400000000000000399e-08,1.610229674745803849e-02,1.000000000000000000e+00,1.564027370478983381e-02,1.600000000000000000e+01
6.499999999999999971e-08,1.634625828174215284e-02,0.000000000000000000e+00,1.661779081133919755e-02,1.700000000000000000e+01
6.600000000000000866e-08,1.659021981602626719e-02,1.000000000000000000e+00,1.661779081133919755e-02,1.700000000000000000e+01
6.700000000000000438e-08,1.683418135031038154e-02,1.000000000000000000e+00,1.661779081133919755e-02,1.700000000000000000e+01
6.800000000000000010e-08,1.707814288459449589e-02,0.000000000000000000e+00,1.661779081133919755e-02,1.700000000000000000e+01
6.900000000000000905e-08,1.732210441887861024e-02,1.000000000000000000e+00,1.759530791788856130e-02,1.800000000000000000e+01
7.000000000000000477e-08,1.756606595316272459e-02,1.000000000000000000e+00,1.759530791788856130e-02,1.800000000000000000e+01
7.100000000000000049e-08,1.781002748744684241e-02,0.000000000000000000e+00,1.759530791788856130e-02,1.800000000000000000e+01
7.200000000000000945e-08,1.805398902173095677e-02,1.000000000000000000e+00,1.759530791788856130e-02,1.800000000000000000e+01
7.300000000000000517e-08,1.829795055601507112e-02,1.000000000000000000e+00,1.857282502443792851e-02,1.900000000000000000e+01
7.400000000000000089e-08,1.854191209029918547e-02,0.000000000000000000e+00,1.857282502443792851e-02,1.900000000000000000e+01
7.500000000000000984e-08,1.878587362458329982e-02,1.000000000000000000e+00,1.857282502443792851e-02,1.900000000000000000e+01
7.600000000000000556e-08,1.902983515886741417e-02,1.000000000000000000e+00,1.857282502443792851e-02,1.900000000000000000e+01
7.700000000000000128e-08,1.927379669315153199e-02,0.000000000000000000e+00,1.955034213098729226e-02,2.000000000000000000e+01
