time,vin,clk,v_code,code
0.000000000000000000e+00,4.887585532746823065e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000062e-09,5.497377684912757275e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000125e-09,6.107169837078692569e-04,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
3.000000000000000394e-09,6.716961989244626778e-04,1.000000000000000000e+00,1.075268817204301161e-02,1.100000000000000000e+01
4.000000000000000249e-09,7.326754141410562072e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000105e-09,7.936546293576496281e-04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000787e-09,8.546338445742430491e-04,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
7.000000000000000643e-09,9.156130597908365785e-04,1.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
8.000000000000000498e-09,9.765922750074301079e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001181e-09,1.037571490224023420e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-08,1.098550705440616950e-03,0.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.100000000000000089e-08,1.159529920657210479e-03,1.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
1.200000000000000157e-08,1.220509135873803792e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000060e-08,1.281488351090397321e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000129e-08,1.342467566306990850e-03,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.500000000000000197e-08,1.403446781523584163e-03,1.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
1.600000000000000100e-08,1.464425996740177692e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000002e-08,1.525405211956771222e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.800000000000000236e-08,1.586384427173364534e-03,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.900000000000000139e-08,1.647363642389958064e-03,1.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
2.000000000000000042e-08,1.708342857606551593e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000276e-08,1.769322072823144906e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000178e-08,1.830301288039738435e-03,1.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.300000000000000081e-08,1.891280503256331964e-03,0.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
2.400000000000000315e-08,1.952259718472925277e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000218e-08,2.013238933689518589e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000121e-08,2.074218148906112336e-03,0.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.700000000000000023e-08,2.135197364122706082e-03,0.000000000000000000e+00,1.173020527859237536e-02,1.200000000000000000e+01
2.800000000000000257e-08,2.196176579339298961e-03,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
