time,vin,clk,v_code,code
0.000000000000000000e+00,4.887585532746819813e-04,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
1.000000000000000062e-09,7.326605266373410448e-04,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
2.000000000000000125e-09,9.765625000000000000e-04,1.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
2.999999999999999980e-09,1.220464473362659931e-03,0.000000000000000000e+00,9.775171065493646130e-04,1.000000000000000000e+00
4.000000000000000249e-09,1.464366446725320079e-03,1.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
5.000000000000000105e-09,1.708268420087980010e-03,0.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
5.999999999999999960e-09,1.952170393450639941e-03,0.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
6.999999999999999816e-09,2.196072366813290114e-03,0.000000000000000000e+00,1.955034213098729226e-03,2.000000000000000000e+00
8.000000000000000498e-09,2.439974340175950045e-03,1.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
8.999999999999999527e-09,2.683876313538609976e-03,0.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
1.000000000000000021e-08,2.927778286901269907e-03,0.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
1.099999999999999924e-08,3.171680260263929838e-03,0.000000000000000000e+00,2.932551319648093839e-03,3.000000000000000000e+00
1.199999999999999992e-08,3.415582233626590202e-03,0.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.300000000000000060e-08,3.659484206989250133e-03,0.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.399999999999999963e-08,3.903386180351910064e-03,0.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.499999999999999866e-08,4.147288153714570429e-03,0.000000000000000000e+00,3.910068426197458452e-03,4.000000000000000000e+00
1.600000000000000100e-08,4.391190127077219951e-03,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.700000000000000002e-08,4.635092100439879882e-03,0.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.799999999999999905e-08,4.878994073802539813e-03,0.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
1.900000000000000139e-08,5.122896047165199744e-03,1.000000000000000000e+00,4.887585532746823065e-03,5.000000000000000000e+00
2.000000000000000042e-08,5.366798020527859675e-03,0.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.099999999999999945e-08,5.610699993890519606e-03,0.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.199999999999999848e-08,5.854601967253180404e-03,0.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.300000000000000081e-08,6.098503940615840335e-03,0.000000000000000000e+00,5.865102639296187678e-03,6.000000000000000000e+00
2.399999999999999984e-08,6.342405913978489858e-03,0.000000000000000000e+00,6.842619745845552291e-03,7.000000000000000000e+00
2.499999999999999887e-08,6.586307887341149789e-03,0.000000000000000000e+00,6.842619745845552291e-03,7.000000000000000000e+00
